,document,term,count,sentiment,,,,,,
170,1,tough,1,positive,,,,,,
171,1,traumatized,1,negative,,,,,,
172,1,trump,1,positive,,,,,,
173,1,unfortunately,1,negative,,,,,,
174,1,unnecessary,1,negative,,,,,,
175,1,unrealistic,1,negative,,,,,,
176,1,weird,1,negative,,,,,,
177,1,well,9,positive,,,,,,
178,1,wholeheartedly,1,positive,,,,,,
179,1,wild,1,negative,,,,,,
180,1,won,3,positive,,,,,,
181,1,work,1,positive,,,,,,
182,1,worked,1,positive,,,,,,
183,1,works,2,positive,,,,,,
184,1,worthy,5,positive,,,,,,
185,1,wow,1,positive,,,,,,
186,1,wreck,1,negative,,,,,,
187,1,wrong,1,negative,,,,,,
