,document,term,count,sentiment,,,,,,
171,1,strange,10,negative,,,,,,
172,1,strike,1,negative,,,,,,
173,1,strongest,1,positive,,,,,,
174,1,struck,1,negative,,,,,,
175,1,stunned,1,positive,,,,,,
176,1,stupidity,1,negative,,,,,,
177,1,suffered,1,negative,,,,,,
178,1,suicide,1,negative,,,,,,
179,1,super,1,positive,,,,,,
180,1,superior,1,positive,,,,,,
181,1,support,1,positive,,,,,,
182,1,sweet,1,positive,,,,,,
183,1,terribly,1,negative,,,,,,
184,1,thankful,2,positive,,,,,,
185,1,trauma,1,negative,,,,,,
186,1,triumphantly,1,positive,,,,,,
187,1,trouble,1,negative,,,,,,
188,1,unexpected,1,negative,,,,,,
189,1,unlucky,1,negative,,,,,,
190,1,unworthy,1,negative,,,,,,
191,1,vengeful,1,negative,,,,,,
192,1,wasting,1,negative,,,,,,
193,1,weak,1,negative,,,,,,
194,1,weird,2,negative,,,,,,
195,1,welcome,1,positive,,,,,,
196,1,well,10,positive,,,,,,
197,1,wholesome,1,positive,,,,,,
198,1,willing,2,positive,,,,,,
199,1,win,3,positive,,,,,,
200,1,won,1,positive,,,,,,
201,1,wonder,1,positive,,,,,,
202,1,wonderful,2,positive,,,,,,
203,1,work,3,positive,,,,,,
204,1,works,3,positive,,,,,,
205,1,worried,1,negative,,,,,,
206,1,worst,1,negative,,,,,,
207,1,worthiness,2,positive,,,,,,
208,1,worthy,11,positive,,,,,,
209,1,wrong,3,negative,,,,,,
