,document,term,count,sentiment,,,,,,,
161,1,significant,1,positive,,,,,,,
162,1,skill,1,positive,,,,,,,
163,1,slow,1,negative,,,,,,,
164,1,split,1,negative,,,,,,,
165,1,stark,2,negative,,,,,,,
166,1,steal,3,negative,,,,,,,
167,1,stole,1,negative,,,,,,,
168,1,strange,5,negative,,,,,,,
169,1,strike,1,negative,,,,,,,
170,1,strong,1,positive,,,,,,,
171,1,suck,1,negative,,,,,,,
172,1,suicide,1,negative,,,,,,,
173,1,super,1,positive,,,,,,,
174,1,support,2,positive,,,,,,,
175,1,terribly,1,negative,,,,,,,
176,1,thank,1,positive,,,,,,,
177,1,thankful,1,positive,,,,,,,
178,1,torture,1,negative,,,,,,,
179,1,tough,1,positive,,,,,,,
180,1,traumatized,1,negative,,,,,,,
181,1,trouble,1,negative,,,,,,,
182,1,trump,1,positive,,,,,,,
183,1,unfortunately,1,negative,,,,,,,
184,1,unnecessary,1,negative,,,,,,,
185,1,unrealistic,1,negative,,,,,,,
186,1,weird,2,negative,,,,,,,
187,1,well,8,positive,,,,,,,
188,1,wholeheartedly,1,positive,,,,,,,
189,1,wild,1,negative,,,,,,,
190,1,won,2,positive,,,,,,,
191,1,work,1,positive,,,,,,,
192,1,works,2,positive,,,,,,,
193,1,worthy,5,positive,,,,,,,
194,1,wreck,1,negative,,,,,,,
195,1,wrong,2,negative,,,,,,,
