from,to,weight,title
27,39,2,"That is logical but also serves their purpose.Only handful of local journalists visited place and that too under heavy military restrictions. They must have shown places around where there was not much collateral damage.Remember reports were coming out from local journalists that  they cordoned off the madarasa area immediately and did not let anyone enter not even local police.I think had there been visit from swarm of international journalists they could not have stood the pressure and journalists would have demanded unfettered access to the site. Refusal to do so would have resulted in negative international press coverage.Closing the airspace seems obvious way to thwart above scenario. Imagine monetary lost sustained and inconvenience faced by civilians for halting operations completely for more than 4 days.&gt; Closing airspace doesn't stop foreign journalists that are already in the country from visiting the site. Which there are likely many of.&gt; &gt; Nor does it stop international news agencies from contracting local freelancing reporters.Still it does not explain restricted access to the site. "
27,56,1,"Attack happened on 26th and I see following article of decision to close airspace on 27th. Sufficient enough to stop somebody from planning international flight.https://www.ndtv.com/india-news/pakistan-closes-airspace-suspends-flights-amid-escalating-tensions-2000211"
27,83,1,"&gt; Some airports are **open for domestic flights**, but **no international flights** have yet been allowedFear of international journalist coming in and demanding access to bombed madarasa site ? "
27,125,1,To stop *hostile* foreign journalist from coming in ? 
28,2,1,"Lets see what happens in the polls. It will hopefully give a clear picture of the national sentiment, Western countries are also keeping mum. "
28,49,1,LOL! No. Its hard to find something trustworthy but NDTV is not to be trusted for sure. 
28,60,1,"I would be very reserved about generalizing western media when that itself has so many internal divides. Pakistan may have come across as sensible in this particular instance but youre forgetting that the problem leaderships of the world have is with terrorism. Pakistan has not been able to solve the problem! One can be sympathetic to a country only so much and so many times. Even if IK means the change Pakistan is hoping for, the expectations from him are quite crazy. And anyway, international media does not run world leaderships. Frankly who the fuck can thump their chests and say what exactly happened in the strike? No one. Image aside, an aspect of politics that matters clearly seems to operate with facts that arent completely shared with the public it seems."
28,70,1,"If what Gen. Bakshi says is true then Pakistan needs to be held responsible for war crimes, not invited to ceremonies of prizes. Sat what you may about him, Bakshi has seen war at close quarters and might know a thing or two. "
28,126,1,"Guy on left gives no fucks about war or peace, he just wanna be high and wasted!"
28,100,1,You are kidding right? 
28,106,1,Such assumption is baseless and frankly quite stupid on their part. 
29,43,1,"Kind of died down except our keyboard warriors and stupid bjp since most of the evidence suggests the airstrikes were a dud and they captured our pilot. The PR went against us after the initial euphoria.Even if it was a dud the fact that IAF went so far into Pak territory and dropped bombs would have been a strong signal nonetheless but the media and the social media warriors have fucked up big time and turned this into a dud. "
30,50,1,Akshay Kumar should be the hero imo
31,50,1,I'd pay to see that. 
32,33,1,"Hi bud, how's work? BTW needed the coordinates for the balakot air strikes, stat."
32,54,1,"Yes, let me call my friend at NSA."
33,32,1,hi how may i help you
34,46,1,Thank you! :)
34,116,1,Can you please post a translation here? Any mention of casualties?
35,1,1,Doesnt matter. This is crazy stuff to retweet/reply to. 
36,54,1,"Yes, let me call my friend at MOSSAD."
37,4,1,Yes Pakistan has a lot of goodwill in Turkey for historical reasons. https://en.m.wikipedia.org/wiki/PakistanTurkey_relations
37,21,1,"The air forces haven't made any specific claims other that ""they achieved their objectives"". The questioning is targeting the claims made by the BJP government which has consistently been lying to the country ever since they came into power. After all the false claims regarding demonetization, GDP, etc I think it's fair to not trust them. "
38,119,3,"Bhai they completely ignored your point.  Koi faida nahi. Not one person spoke about the murdered Pakistani.  Everyone is worried about the 5 hour delay. Inko apnay haal pay rehne deyMakes perfect sense. But in the end, people would say anything to one up each other and ignore the main point. Nobody thinks anything of the murdered Pakistani. Lmao they keep ignoring you"
39,27,3,"If you suspect military action, then the responsible thing to do would be to close civilian airspace wouldn't it?Closing airspace doesn't stop foreign journalists that are already in the country from visiting the site. Which there are likely many of.Nor does it stop international news agencies from contracting local freelancing reporters.&gt;Imagine monetary lost sustained and inconvenience faced by civilians for halting operations completely for more than 4 daysWhich is miniscule compared to a civilian liner getting shot down by rogue SAM launches.Not everything has to be a conspiracy.&gt; restricted access to the site.It was a terrorist camp, one under Pakistan's nose that it publicly denied. Regardless of it being destroyed or not, Pakistan would not want foreign journalists digging through the place confirming that it was a training camp for terrorists."
39,51,1,He said images from commercial satellites.
39,88,1,The professor in this video echoed my feelings on this as a westerner observing this from afar.
40,95,1,It's still a 60 year old airframe 2nd gen fighter. the F-16 outclasses it in every way regardless of the upgrades you put on it. There's a reason why the USA doesn't fly F-100's with modern electronics 
41,70,1,"&gt; The anchor tries to pin the 300 number on the government which is not true and talks like the civilians are entitled a briefing on a military operation.What!? Where in the video did those two things happen?"
42,123,1,Nope.
42,127,2,"As credible as the Francesco Marino person is IMO. Abhijit Iyer the guy all the Pakistanis are praising since yesterday (The F16 guy) has said about her, ""FYI Francesca scouted there extensively &amp; spent time in a Pakistani prison. Her sources are IMPECCABLE"". So Pakistanis at least should believe this report (I kid, I kid). But honestly in these reports it's basically the fact that she'll lose all credibility and her livelihood if found to be true that basically are the proof for it.This is gold"
42,124,1,There's a chance he might have downed an F16 so yeah ....
42,100,1,"Lol except Turkey not a single country has condemned India for it's attack on Pakistan or praised Pakistan for it's response. They are a rogue state like North Korea and no sane country wants to side with them in this against India, not even China."
42,109,1,And a terrorist getting killed should not be seen as a success for the ruling govt? Just like a terrorist attack happening should not be seen as a failure for the ruling govt? Tell me what do you think the ruling govt does in this country?
